Price,Close,High,Low,Open,Volume
Ticker,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS
Date,,,,,
2022-09-02,698.9932250976562,701.3459454783283,689.4411573763429,692.7114731691545,12038086
2022-09-05,703.487060546875,705.3456869797386,698.3345675959149,699.2756559040934,12131932
2022-09-06,700.804931640625,708.9453685662064,699.4403420917827,705.2986513343631,12238696
2022-09-07,697.4876098632812,701.1107768079097,692.311624262686,692.311624262686,9776206
2022-09-08,704.6868286132812,705.8161459346697,697.4169452859402,701.1577478836078,11164690
2022-09-09,705.1574096679688,710.0510800241534,703.0164683767722,704.0280922873926,15128888
2022-09-12,702.7811889648438,707.6983520120126,701.1107343736029,705.8161755438955,11080492
2022-09-13,711.9802856445312,713.2978321362593,705.1339032664449,705.2985822180442,13001966
2022-09-14,719.2973022460938,724.1203796217334,702.2165271985285,703.016486690365,20219760
2022-09-15,715.556396484375,725.0849145971312,711.4626857524587,719.9324796304642,13539372
2022-09-16,702.4047241210938,712.7331444174275,697.8169190229992,707.2748441988699,20560046
2022-09-19,707.03955078125,712.403764991004,696.405265645103,700.6401625307826,12076038
2022-09-20,715.556396484375,717.1092150044623,710.4745546212512,712.4037739611259,10781668
2022-09-21,714.45068359375,715.9329091228777,708.1689308116536,709.5805632318761,9072304
2022-09-22,699.2285766601562,710.5922288791018,697.6993082387932,706.757282734559,12048144
2022-09-23,680.4774169921875,694.0526038922884,676.1719266394701,692.8056504380794,15806252
2022-09-26,671.3018188476562,675.9131170248636,667.2316004879561,670.6900884807294,8923486
2022-09-27,665.27880859375,677.5835491159366,662.0555927820299,674.0074252057186,12639700
2022-09-28,653.8446044921875,663.7495237479989,652.1271069674224,661.5850322853146,11816132
2022-09-29,650.4566650390625,659.7969545090015,648.7862678452976,657.020790100314,14410388
2022-09-30,668.807861328125,673.5603453659234,642.2927121355508,648.7862438494111,15781756
2022-10-03,664.972900390625,667.1609419476192,659.2793282578461,663.4436320627585,11541112
2022-10-04,683.7005615234375,686.0532819691479,671.0664642178656,672.6427754285987,11538526
2022-10-06,676.171875,688.2177925308961,674.8543285377837,686.9708391719173,12549198
2022-10-07,673.2545776367188,675.2072898636742,668.3373569162526,672.9957553842579,13297994
2022-10-10,665.8199462890625,670.995931737246,657.9147819015036,662.5261373674912,13109302
2022-10-11,659.067626953125,666.761011754709,658.5029395507675,659.2793488293421,14521620
2022-10-12,663.3731689453125,665.7493824509486,657.4913670410573,660.2675315882884,9225050
2022-10-13,655.750244140625,661.7026384741702,651.233032283201,659.72637623638,14714234
2022-10-14,677.1129760742188,680.877328964138,665.9375534322711,666.7610056269409,12849920
2022-10-17,680.6655883789062,685.8650662014976,671.4664282812572,675.2307810676973,18410500
2022-10-18,679.3950805664062,688.358968558388,677.5834972872465,686.0768411838899,10561108
2022-10-19,686.3591918945312,695.1818941415572,683.8888352653639,688.8765914477891,12967040
2022-10-20,681.724365234375,683.6535846984829,678.7599142103893,679.4657304123411,7898078
2022-10-21,676.9248046875,685.8886937470793,674.7603130790459,683.2301078038876,10492606
2022-10-24,687.488525390625,688.4060634700435,684.3123525072191,684.3123525072191,2167794
2022-10-25,682.7124633789062,690.6646703571561,679.936241631066,687.5119903440448,13773394
2022-10-27,684.3594360351562,690.4529599157253,682.8772104470667,689.1119205510622,15937276
2022-10-28,686.3827514648438,690.2882910155678,681.0656368566288,682.2890401994365,10474278
2022-10-31,704.2633056640625,704.8750359474122,690.4058054030979,692.6408897961221,12830528
2022-11-01,712.0509033203125,719.4619733532185,705.2986065560032,707.463098061847,19073756
2022-11-02,712.4979248046875,719.1090930494732,711.2745215097068,713.8154713928028,12720406
2022-11-03,709.3688354492188,715.3447230027085,704.4045718369049,704.7339297564315,10332352
2022-11-04,704.47509765625,713.3918852090621,700.9224667917616,707.3218549444457,10818060
2022-11-07,709.9569702148438,711.4626883784827,702.0988491797881,710.5216001663418,9835834
2022-11-09,709.7451782226562,714.2623900723316,707.6983228857137,712.8978581406799,9269790
2022-11-10,717.4620971679688,718.5208213644784,703.4869607498283,704.451541665192,12774182
2022-11-11,758.1171264648438,770.2806797736204,723.6968145948858,726.9906232438873,56722338
2022-11-14,759.9523315429688,766.0458551421754,751.9295310302189,758.5171489491319,19195390
2022-11-15,761.8109130859375,763.763682627757,755.3409315819649,763.763682627757,11030202
2022-11-16,768.3515014648438,772.6334414490492,758.5171179146573,761.6462477860076,13578150
2022-11-17,761.4109497070312,767.7162521581456,759.4111372746663,761.3873995261583,12100930
2022-11-18,759.4111328125,763.6930726252166,755.3409148685329,762.7519844272804,10459232
2022-11-21,751.6235961914062,758.5170786484053,748.2591944353147,756.4702233297718,8344816
2022-11-22,750.5178833007812,754.9174594046507,748.6357067909361,752.8706039380878,8546314
2022-11-23,752.4706420898438,755.2233137079886,750.0473283803949,755.2233137079886,10185738
2022-11-24,764.7047729492188,767.92798861944,752.4706260717031,755.6702915606041,17197960
2022-11-25,761.1757202148438,767.7868307501509,759.5052655845076,766.8457424940672,8410496
2022-11-28,752.9882202148438,756.3761148678941,750.0708696769096,754.2351736077953,16105980
2022-11-29,751.85888671875,758.681776241544,749.5061661936486,751.576571743631,12638236
2022-11-30,756.8466186523438,758.9405743167093,751.5059547182594,751.5059547182594,15184806
2022-12-01,762.046142578125,770.2806640323499,759.9286942041815,763.2225027858714,20446366
2022-12-02,756.21142578125,761.6226830325693,755.2938877448564,757.5760151846933,7811078
2022-12-05,758.964111328125,759.7405206098754,751.082497360184,757.552478975658,11592622
2022-12-06,758.1171264648438,759.316979437587,752.8705483431843,753.3410924358988,12353092
2022-12-07,757.7877197265625,761.6226656135515,754.964455138271,759.5287673530213,11674720
2022-12-08,762.046142578125,765.1046791182657,755.2232533731958,757.5759737886887,14803634
