Ticker,EntryDate,EntryPrice,StopPrice,Qty,RiskPerTrade,ExitDate,ExitPrice,Profit
RELIANCE.NS,2025-06-12 11:25:00+05:30,1451.4000244140625,1449.328604561942,24,50.0,2025-06-12 11:35:00+05:30,1449.0999755859375,-55.201171875
RELIANCE.NS,2025-06-13 11:30:00+05:30,1426.0,1424.5071411132812,33,50.0,2025-06-13 11:35:00+05:30,1427.9000244140625,62.7008056640625
RELIANCE.NS,2025-06-16 09:40:00+05:30,1432.0,1429.0928867885045,17,50.0,2025-06-16 09:45:00+05:30,1429.0928867885045,-49.420924595423
RELIANCE.NS,2025-06-23 11:15:00+05:30,1452.4000244140625,1450.771449497768,30,50.0,2025-06-23 11:35:00+05:30,1454.4000244140625,60.0
RELIANCE.NS,2025-06-30 09:30:00+05:30,1520.0,1516.449986049107,14,50.0,2025-06-30 09:35:00+05:30,1516.449986049107,-49.700195312500455
RELIANCE.NS,2025-06-30 10:10:00+05:30,1523.9000244140625,1519.5857456752233,11,50.0,2025-06-30 10:20:00+05:30,1519.5857456752233,-47.45706612723143
RELIANCE.NS,2025-07-04 09:40:00+05:30,1522.9000244140625,1518.0714372907366,10,50.0,2025-07-04 10:25:00+05:30,1520.5,-24.000244140625
RELIANCE.NS,2025-07-08 11:05:00+05:30,1538.0999755859375,1536.2356828962054,26,50.0,2025-07-08 11:30:00+05:30,1540.8964146205358,72.70741489955526
RELIANCE.NS,2025-07-17 11:20:00+05:30,1483.699951171875,1482.0713762555804,30,50.0,2025-07-17 11:35:00+05:30,1484.800048828125,33.0029296875
RELIANCE.NS,2025-07-25 11:25:00+05:30,1397.0,1394.5642961774554,20,50.0,2025-07-25 11:30:00+05:30,1394.5642961774554,-48.71407645089221
RELIANCE.NS,2025-07-29 11:30:00+05:30,1396.199951171875,1394.3856724330358,27,50.0,2025-07-29 11:35:00+05:30,1396.5999755859375,10.8006591796875
RELIANCE.NS,2025-07-30 11:20:00+05:30,1413.0,1410.4357038225446,19,50.0,2025-07-30 11:35:00+05:30,1411.5,-28.5
RELIANCE.NS,2025-07-31 11:30:00+05:30,1395.199951171875,1392.6570957728795,19,50.0,2025-07-31 11:35:00+05:30,1394.0999755859375,-20.8995361328125
RELIANCE.NS,2025-08-01 10:00:00+05:30,1402.199951171875,1398.507071358817,13,50.0,2025-08-01 11:10:00+05:30,1398.507071358817,-48.00743756975362
RELIANCE.NS,2025-08-06 10:30:00+05:30,1390.5999755859375,1388.064252580915,19,50.0,2025-08-06 10:35:00+05:30,1388.064252580915,-48.17873709542596
RELIANCE.NS,2025-08-06 11:10:00+05:30,1390.0,1388.0857107979912,26,50.0,2025-08-06 11:30:00+05:30,1392.8714338030131,74.65727887834146
RELIANCE.NS,2025-08-11 10:50:00+05:30,1371.5,1368.9357212611608,19,50.0,2025-08-11 10:55:00+05:30,1368.9357212611608,-48.721296037945194
RELIANCE.NS,2025-08-20 09:45:00+05:30,1421.699951171875,1419.1714041573662,19,50.0,2025-08-20 09:55:00+05:30,1419.1714041573662,-48.04239327566779
RELIANCE.NS,2025-08-28 10:50:00+05:30,1384.0,1380.8428519112724,15,50.0,2025-08-28 11:25:00+05:30,1380.8428519112724,-47.35722133091372
